Title	Designation	Points	Price	Appellation	TasterName	TasterTwitterHandle	TasterTitle	Variety	Winery	DatePublished	Category	BottleSize	Alcohol	Description
Beauregard 2017 Oeuf en Beton Bald Mountain Vineyard Chardonnay (Ben Lomond Mountain)	Oeuf en Beton Bald Mountain Vineyard	93	$50	Ben Lomond Mountain, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Beauregard	7/1/2019	White	750 ml	12.5%	Aged in a concrete egg, this bright bottling offers aromas of kumquat, lemongrass and light almond on the nose. There is tremendous grip to the sip, where bright and brilliant flavors of crisp lime and fresh lemon blossom extract meet with grapefruit zest. Very lively and tactile.
Lange 2016 Freedom Hill Vineyard Pinot Noir (Willamette Valley)	Freedom Hill Vineyard	93	$70	Willamette Valley, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Lange	7/1/2019	Red	750 ml	14.2%	Dive into a luscious wine loaded with blueberry fruit, and wrapped in tasty barrel flavors of toast and cigar box. It's beautifully balanced, and further proof that the 2016 vintage is one for the ages at Lange. Aged in 40% new French oak, it's absolutely delicious young but has the potential to continue to improve over the next decade.
Domaine Drouhin Oregon 2016 Laurène Pinot Noir (Dundee Hills)	Laurène	93	$70	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Domaine Drouhin Oregon	7/1/2019	Red	750 ml	14.1%	This is a smoky, silky wine loaded with ripe and juicy blackberry fruit. The percentage of new oak is not disclosed, but there's just the right amount of barrel toast evident in the nose and the flavor. Lovely already, this should age nicely over the next decade.
Daou 2017 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley)	Solomon Hills Vineyard	93	$90	Santa Maria Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Daou	7/1/2019	Red	750 ml	14.5%	Black raspberry aromas are lifted by herbal touches of bay leaf and wild thyme on the nose of this bottling—one of the first Pinot Noirs for the Daou brothers. It's medium bodied on the palate with bright raspberry fruit, herbal touches of marjoram and pencil shavings and a strong acid that carries into the finish.
Larner 2016 Estate Grown Syrah (Ballard Canyon)	Estate Grown	93	$38	Ballard Canyon, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Larner	7/1/2019	Red	750 ml	14.8%	Black currant, violet and dark cocoa aromas are restrained and balanced on the nose of this estate bottling by Michael Larner. The palate packs in purple flower and açaí flavors against a chalky structure.
Dierberg 2016 Drum Canyon Vineyard Pinot Noir (Sta. Rita Hills)	Drum Canyon Vineyard	93	$52	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Dierberg	7/1/2019	Red	750 ml	13.9%	This bottling from a vineyard in the heart of the Sta. Rita Hills begins with aromas of earthy soils, dried herbs and bright Bing cherries. The palate's dark red, almost boysenberry fruit tones are both crisp and ripe, wrapped in a rocky, earthy tension that's mouthfilling and bright, finishing on a hint of French toast.
Kelley Fox 2017 Barbie Pinot Blanc (Willamette Valley)	Barbie	93	$35	Willamette Valley, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Blanc	Kelley Fox	7/1/2019	White	750 ml	13%	This looks to be the first vintage for a Kelley Fox Pinot Blanc, and there are two, both sourced from the Freedom Hill vineyard. The Barbie honors Kelley Fox's late mother, a fine artist, whose painting adorns the front label. Fermented in a single acacia puncheon with natural yeast, it's a leesy, textural wine with fresh citrus fruits and a long, racy finish.
Soquel Vineyards 2017 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands)	Doctor's Vineyard	93	$55	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Soquel Vineyards	7/1/2019	Red	750 ml	14.8%	Tangy red-plum aromas meet with peppercorns, coriander and muddy earth on the nose of this bottling. The palate is loaded with exotic Indian spices like cardamom which lift the tangy black-plum and blood orange rind flavors.
Emilio Moro 2015 Vendimia Seleccionada Viñedo La Mira (Ribera del Duero)	Vendimia Seleccionada Viñedo La Mira	93	$44	Ribera del Duero, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	Emilio Moro	7/1/2019	Red	750 ml	14%	Heady black fruit and oak aromas don't tread lightly, as this smells of wood grain and cedar along with tobacco and cream. A tough, drawing palate features scraping tannins, while this tastes of frontal oak backed by tea, cola, savory meat and, of course, berry fruit. A long finish is decidedly oaky, but this muscular and massive single-vineyard Tempranillo can handle the wood factor. Drink through 2030.
Parrish Family 2016 Reserve Cabernet Sauvignon (Adelaida District)	Reserve	93	$70	Adelaida District, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Cabernet Sauvignon	Parrish Family	7/1/2019	Red	750 ml	14.5%	Quite thick in the glass, this reserve bottling by longtime grower David Parrish starts with inviting, delicious aromas of black cherry, pencil shavings and loamy soils. That density is confirmed on the palate, where black-currant flavors meet with hefty oak, milk chocolate, peppercorns and oregano, finishing on vanilla.
Bodegas Franco-Españolas 2011 Royal Reserva (Rioja)	Royal Reserva	93	$34	Rioja, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo Blend, Tempranillo	Bodegas Franco-Españolas	7/1/2019	Red	750 ml	14%	Aromas of dried plum and cherry are aided by wood spice and vanilla notes. On the palate, this is lively but balanced, with a strong indication that this reserva will age well for another seven to 10 years. Plum, berry and spice flavors are Rioja all the way, while this feels steady on a finish that doesn't waver. Drink through 2028.
Patricia Green Cellars 2017 Weber Vineyard Pinot Noir (Dundee Hills)	Weber Vineyard	93	$48	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	13.3%	The vines date back to 1983, yielding a young wine with classic texture and elegance. Bright red berry fruit seems gently dusted with sweet spices. It's a lovely wine, with a light hint of mushroom in the finish. The length is impressive—this wine just doesn't quit.
Tardieu-Laurent 2016 Vieilles Vignes Red (Vacqueyras)	Vieilles Vignes	93	$45	Vacqueyras, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Tardieu-Laurent	7/1/2019	Red	750 ml	14.5%	There's a regal, weighty feel to this powerful yet finessed red. Blackberry and cassis flavors are succulent and concentrated, with notes of granite, sandstone and dried mint. It's supple and soft but structured by fine, drying tannins. Immediately approachable, it should hold well through 2026.
Domaine de Fondrèche 2016 Persia Syrah-Mourvèdre (Ventoux)	Persia	93	$30	Ventoux, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Red Blends	Domaine de Fondrèche	7/1/2019	Red	750 ml	N/A	Pristine black cherries are shaded with anise, violet and rose petal on the nose of this gorgeously perfumed blend of 90% Syrah and 10% Mourvèdre. Black-fruit flavors are plush and plump but freshly balanced and fringed by ripe, feathery tannins. This decadent yet elegantly nuanced wine is ready now but should hold through 2026.
null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Clos Griotte 2017 Momtazi Vineyard Pinot Noir (McMinnville)	Momtazi Vineyard	93	$60	McMinnville, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Clos Griotte	7/1/2019	Red	750 ml	13%	The grapes from this highly regarded vineyard are in good hands here, fermented in 500 liter puncheons and aged in large barrels. Expressive, brambly red fruits combine with wild herbs in a balanced and detailed young wine that reflects a sure hand at the helm. Winemaker Thibaud Mandet spent 13 years at WillaKenzie prior to starting his own label.
García Figuero 2016 12 Crianza (Ribera del Duero)	12 Crianza	93	$32	Ribera del Duero, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	García Figuero	7/1/2019	Red	750 ml	14.6%	Full, smoky blackberry and cassis aromas are concentrated and ripe. Typical of Ribera del Duero, this feels full and flush, with fierce tannins. Blackberry, coffee and chocolate flavors soften a bit on a firm finish that holds off on the hammer. Drink through 2030.
Numanthia 2014 Numanthia (Toro)	Numanthia	93	$60	Toro, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tinta de Toro, Tempranillo	Numanthia	7/1/2019	Red	750 ml	15%	Dense black cherry, chocolate and marzipan aromas convey a rich, ripe style of Toro, which Numanthia always is. Tight and concentrated on the palate, this tastes of savory black fruit and chocolate. An unyielding finish tastes of blackberry and coffee, all framed by tough lasting tannins. Drink through 2032.
Beauregard 2017 Beauregard Ranch Chardonnay (Ben Lomond Mountain)	Beauregard Ranch	93	$60	Ben Lomond Mountain, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Beauregard	7/1/2019	White	750 ml	12.5%	Toasted almonds, orange rinds, pan-seared pear and a bit of oak smoke show on the nose of this bottling from a property that's been family-owned since 1945. Green apples, lemon rinds and lemongrass freshness are enhanced by savory sea salt and judicious oak flavors on the palate.
H. Blin 2009 Millesimé Brut (Champagne)	Millesimé Brut	93	$69	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Champagne Blend, Sparkling	H. Blin	7/1/2019	Sparkling	750 ml	12.5%	Full of white fruits and just hinting at more mature nuttiness, this rich wine is ripe, full and already delicious. Enough freshness gives a crisp aftertaste that's integrated into the wine's generosity. Drink this vintage now.
Alheit 2017 Nautical Dawn Chenin Blanc (Stellenbosch)	Nautical Dawn	93	$63	Stellenbosch, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Chenin Blanc	Alheit	7/1/2019	White	750 ml	13%	There's an immediate spicy, floral character at play here, like ginger mixed with orange blossom and lemon peel tea, alongside notes of spiced pear and musk melon. The palate is fresh and vibrant, with precise acidity that lifts the palate and gives superb cut to the ripe fruit tones. The texture is layered and refined, as waves of fruit, then acidity, then pithy astringency dance across your palate and lead into an enduring, evolving finish.
Brecon Estate 2016 Reserve Syrah (Adelaida District)	Reserve	93	$76	Adelaida District, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Brecon Estate	7/1/2019	Red	750 ml	14.8%	Concentrated aromas of black currant, lilac and burned caramel show on the nose of this rich and oaky bottling. It's thick and brooding on the palate, where rich flavors of cassis, vanilla and charred oak are lifted by elegant tones of violet and leather.
Casa Donoso 2015 Sucesor Blue Limited Release Red (Maule Valley)	Sucesor Blue Limited Release	93	$47	Maule Valley, Chile	Michael Schachner	@wineschach	Spanish and South American Editor	Red Blends	Casa Donoso	7/1/2019	Red	750 ml	13%	Bold black currant and wild berry aromas are made complex by oaky tobacco scents on a nose that's clicking at all levels. In the mouth, this Carmenère blend is lush and powerful, but balanced like a brick house. Blackberry, coffee, vanilla and mocha flavors finish warm and spicy. Forget about bashful; this is a flamboyant red wine to drink through 2026.
Barone Pizzini 2012 Bagnadore Dosaggio Zero (Franciacorta)	Bagnadore Dosaggio Zero	93	$60	Franciacorta, Lombardy, Italy	Kerin O’Keefe	@kerinokeefe	Italian Editor	Sparkling Blend, Sparkling	Barone Pizzini	7/1/2019	Sparkling	750 ml	12.5%	Made with organically grown Chardonnay and Pinot Nero, this stunning sparkler offers intense aromas of toasted bread crust, eucalyptus, mature yellow stone fruit and a whiff of pressed wildflower. The vibrant, bone-dry palate delivers ripe golden apple, juicy grapefruit, ginger and crushed herbs alongside crisp acidity and a refined, lively perlage. It closes on a hazelnut note.
Challen 2016 Zotovich Vineyard Pinot Noir (Sta. Rita Hills)	Zotovich Vineyard	93	$60	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Challen	7/1/2019	Red	750 ml	14.5%	Cohesive aromas of rich black cherry, baking spice and a touch of herbs make for a smooth entry to this bottling, in which nothing alone sticks out. There is tannic tension and fresh acidity to the palate, where smashed red fruits and Cinnamon Toast Crunch cereal flavors emerge.
Patricia Green Cellars 2017 Estate Vineyard Sauvignon Blanc (Ribbon Ridge)	Estate Vineyard	93	$29	Ribbon Ridge, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Sauvignon Blanc	Patricia Green Cellars	7/1/2019	White	750 ml	13.7%	A stellar example of the variety, this is sourced from 1990 plantings at the estate (note that there is also a less expensive Willamette Valley bottling). Sleek and richly flavored, there's a saline accent under deep citrus and stone fruit, flesh and rind. The depth and penetration compare favorably with top-tier Sancerre.
Domaine Jean-Michel Gerin 2016 Les Grandes Places (Côte Rôtie)	Les Grandes Places	93	$230	Côte Rôtie, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Syrah	Domaine Jean-Michel Gerin	7/1/2019	Red	750 ml	13.5%	Intensely ripe black-cherry and cassis flavors are layered by prominent smoke, char and licorice in this lavish Côte-Rôtie aged 20 months in new oak. Full bodied and intensely ripe, it will need a few years to integrate all its components, but umami notes of dried porcini, bacon fat and charcuterie are enticing. It appeals best to lovers of plush, sweetly spiced Syrah and should drink better from 2023.
Westerly 2016 Fletcher's Red (Happy Canyon of Santa Barbara)	Fletcher's	93	$60	Happy Canyon of Santa Barbara, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Red Blends	Westerly	7/1/2019	Red	750 ml	15.9%	Aromas of roasted blackberry, coffee, açaí and purple flowers make for a wonderful mix on the nose of this red blend. There's a hint of sweet caramel cream on the palate alongside blackberry foam, lifted by pinches of thyme and other roasting herbs. It is a complete and powerful red wine.
Arrochela & Camizão 2017 Sem Igual Ramadas Metal White (Vinho Verde)	Sem Igual Ramadas Metal	93	$40	Vinho Verde, Portugal	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Portuguese White	Arrochela & Camizão	7/1/2019	White	750 ml	13.5%	From pergola-trained vines as old as 70 years old, this wine is rich, textured with spice and filled with tropical fruit and almond flavors. It is concentrated and full in the mouth, ready to drink now.
Ebner-Ebenauer 2015 Black Edition Pinot Noir (Niederösterreich)	Black Edition	93	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Pinot Noir	Ebner-Ebenauer	7/1/2019	Red	750 ml	13%	A hint of smoky dill segues into a pure note of aromatic red cherry. The palate presents pristine red fruit, translucent and tender, surrounded by smoky, scented oak. This needs time to integrate but shows lovely freshness and ripeness captured at the right moment. This is an elegant, warm and tender Pinot with lots of purity and freshness. Drink 2020–2030.
Neumeister 2017 Ried Klausen Sauvignon Blanc (Vulkanland Steiermark)	Ried Klausen	93	$38	Vulkanland Steiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Sauvignon Blanc	Neumeister	7/1/2019	White	750 ml	13%	Zesty citrus on the nose has a tiny edge of reductive smoke. The palate brims with the vigorous and vibrant varietal freshness but this is set against a cloud-like impression of peach, grape and passion fruit juiciness. Despite the slenderness, this is a huge mouthful of flavor, zestiness and utter freshness. Lovely now, and it is certain to evolve. Drink 2020–2030.
Domaine Drouhin Oregon 2015 Laurène Pinot Noir (Dundee Hills)	Laurène	93	$70	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Domaine Drouhin Oregon	7/1/2019	Red	750 ml	14.1%	Thick with ripe black fruits that are streaked with cola, this substantial vintage of the winery's middle-tier bottling also brings notes of toasted hazelnuts. The overall balance is spot-on, with ample acidity lending a suggestion of wet stone as the flavors resolve into the finish. Delicious already but quite ageworthy for a decade at least.
Hoi Polloi 2016 Double Exposure Syrah (Central Coast)	Double Exposure	93	$54	Central Coast, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Hoi Polloi	7/1/2019	Red	750 ml	15.1%	Roasted blackberries, smoke, milk chocolate and an array of underlying herbs show on the nose of this blend of fruit from the Sta. Rita Hills, Ballard Canyon and Adelaida District. The palate offers roasted flavors against a fresh boysenberry backdrop, with a firm tannic edge and buoyant alcohol levels that will enable long aging. Drink now through 2030.
Ebner-Ebenauer 2017 Sauberg Grüner Veltliner (Niederösterreich)	Sauberg	93	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	Something inherently juicy entices on the nose. Ripe mirabelle plum beckons from the go. This is cushioned and rounded, juicy and generous, but at its centre, that fine bright lemony pepperiness shines through while fine yeastiness makes this extra creamy.
Ovum 2017 Off the Grid Riesling (Rogue Valley)	Off the Grid	93	$27	Rogue Valley, Southern Oregon, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Riesling	Ovum	7/1/2019	White	750 ml	13.5%	Off the grid, indeed! The grapes come from the Cedar Ranch Vineyard in the Illinois Valley (near the California border in southwest Oregon), and were fermented with native yeast in a concrete egg. It's a strikingly intense wine with tangy tangerine, peach and pear fruit concentrated to a fine focus. The details, texture and underlying minerality push this to the top tier of Oregon's (and Ovum's) Rieslings.
Challen 2015 Jasper Pinot Noir (Santa Maria Valley)	Jasper	93	$85	Santa Maria Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Challen	7/1/2019	Red	750 ml	14.2%	A very full aromatic experience, this bottling offers mulberry, Luxardo cherry, clove, sarsaparilla and cardamom cream on the nose. The palate offers rich and dark fruit flavors, but it's the Indian-like spices of chai and masala that dominate and make for a memorable sip.
Castelnau 2006 Millésimé Brut (Champagne)	Millésimé Brut	93	$79	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Champagne Blend, Sparkling	Castelnau	7/1/2019	Sparkling	750 ml	12.5%	A blend dominated by Chardonnay and aged for 11 years on lees has produced a mature, toasty and yeasty wine with a complex balance between the secondary flavors and the still-crisp apple fruits. Drink now.
Kutch 2017 Chardonnay (Sonoma Coast)	null	93	$42	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Chardonnay	Kutch	7/1/2019	White	750 ml	12.25%	From older plantings on the extreme Sonoma Coast, this is a high-toned, linear and freshly focused wine with an Old World sensibility, light in ripeness and delicate in texture. Floral aromatics lead to a palate of Meyer lemon, sea spray and white flowers, finishing in a twist of grapefruit.
Jorge Ordóñez & Co. 2016 Victoria 2 Muscatel (Málaga)	Victoria 2	93	$26	Málaga, Andalucia, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Muscatel, Muscat	Jorge Ordóñez & Co.	7/1/2019	Dessert	375 ml	10%	A mixed tropical-fruit aroma is pure and clean on the nose. On the palate, this Moscatel is smooth and creamy, but with fine acidity to balance. Mango, honey and pineapple flavors slide away with grace on a lush yet nicely balanced finish. Drink through 2025.
Refugio Ranch 2016 Syrah (Santa Ynez Valley)	null	93	$40	Santa Ynez Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Refugio Ranch	7/1/2019	Red	750 ml	15%	There's a cooler climate funk to this bottling, which is grown on the shady north side of the Santa Ynez River. Aromas of roasted meats, lavender, elderberry and tar lead into a palate of espresso bean, black plum and lilac. The finish combines tobacco and lavender.
The Calling 2017 Chardonnay (Sonoma Coast)	null	93	$32	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Chardonnay	The Calling	7/1/2019	White	750 ml	14.1%	This is a remarkably balanced white that is steely in nature, with bright aromas of tangerine, grapefruit and Meyer lemon. These tones follow through on the palate, alongside a fleshy texture and mineral stoniness that refreshes and lingers.
Two Sisters 2016 Lindsay's Vineyard Pinot Noir (Sta. Rita Hills)	Lindsay's Vineyard	93	$75	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Two Sisters	7/1/2019	Red	750 ml	14.3%	Aromas of rose petal, mulberry and violet make for an intriguing entry to this bottling. It's a smooth style of Pinot Noir, with soft tannins and a rich mouthfeel that carries flavors of violet and boysenberry.
Ebner-Ebenauer 2017 Alte Reben Weissburgunder (Niederösterreich)	Alte Reben	93	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Weissburgunder, Pinot Blanc	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	Subtle mirabelle plum notes on the nose are inflected with ripe Amalfi lemon highlights. The palate continues the lemon precision and purity with wonderful concentration and poise, all the while presenting juicy ripe plum fruit. Well-judged creaminess adds texture. This is seductive now, but bottle age will reveal the true depth of fruit and freshness that are captured here. Drink 2020–2030.
Santa Carolina 2014 VSC Red (Cachapoal Valley)	VSC	93	$50	Cachapoal Valley, Chile	Michael Schachner	@wineschach	Spanish and South American Editor	Red Blends	Santa Carolina	7/1/2019	Red	750 ml	14.5%	Despite a saturated black color and deep aromas of raisin, fig and chocolate that push the level of acceptable ripeness to the hilt, this is a delicious multigrape blend to drink now. A fleshy, voluminous palate holds ripe flavors of blackberry, black plum and prune. Coffee and chocolate flavors are more than background notes on a smooth finish with silky tannins.
Pali 2016 Cargasacchi Vineyard Pinot Noir (Sta. Rita Hills)	Cargasacchi Vineyard	93	$75	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.8%	Plump red-cherry and red-currant aromas are sprinkled with wet gravel, chaparral herbs and pepper spice on the nose of this bottling. The palate is full of stewed red-plum and broiled cherry flavors, yet the herbal components play loudest, with oregano, marjoram and thyme all taking part.
Patricia Green Cellars 2017 Olenik Vineyard Anklebreaker Block Pinot Noir (Chehalem Mountains)	Olenik Vineyard Anklebreaker Block	93	$60	Chehalem Mountains, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	14%	Gotta love the name, which the winery notes attribute to its “unusually rocky topsoil.” Spicy and sharp edged, it explodes with pungent cranberry and raspberry fruit. Then, with a little airing out, the flavors broaden across the midpalate, textural and bracing. The mineral-drenched finish lingers for a full minute or longer.
Pali 2016 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills)	Fiddlestix Vineyard	93	$69	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.8%	Heavy aromas of black cherry, root beer, purple flowers and crushed clove show on the nose of this rich yet complex bottling from a vineyard planted in 1998. The intensity continues on the palate, where black cherry and chai spices make for a powerful experience.
Sculpterra 2016 Grenache (Paso Robles)	null	93	$32	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Grenache	Sculpterra	7/1/2019	Red	750 ml	14%	This twist-top bottling is an easy, fun and very likable wine, starting with fresh aromas of sour cherry, gravelly minerality, wild thyme and dried sagebrush. Ripe red plums and strawberries make for a lush palate yet it's restrained with a chalky streak.
Lange 2017 Freedom Hill Vineyard Chardonnay (Willamette Valley)	Freedom Hill Vineyard	93	$65	Willamette Valley, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Chardonnay	Lange	7/1/2019	White	750 ml	13.4%	A mix of tree fruits laced with an impression of pea vine, this lovely, textural wine shows impeccable balance throughout a long finish. Hints of fresh herb combine with a deeply fruity palate in keeping with the house style and the vineyard's characteristic stamp.
Kutch 2017 McDougall Ranch Pinot Noir (Sonoma Coast)	McDougall Ranch	93	$64	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Kutch	7/1/2019	Red	750 ml	13%	Perfumed in rose and lavender, this is an earthy, balanced and brightly light vineyard-designate that shows savory earthiness and lifted acidity. Wild strawberry and rhubarb give it a touch of fruit.
Beauregard 2016 Coast Grade Vineyard Pinot Noir (Ben Lomond Mountain)	Coast Grade Vineyard	93	$60	Ben Lomond Mountain, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Beauregard	7/1/2019	Red	750 ml	12.4%	This bottling from a coastal vineyard planted in 2008 is fresh and bursting on the nose with raspberry, dark red-currant, roasted oak and sagebrush aromas. There's a wide herbal array to the palate, from marjoram to bay leaf, set against a raspberry, pomegranate and hibiscus backdrop. Drink now through 2036.
Patricia Green Cellars 2017 Freedom Hill Vineyard Wadensvil Clone Pinot Noir (Willamette Valley)	Freedom Hill Vineyard Wadensvil Clone	93	$42	Willamette Valley, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	14%	Among no fewer than five Freedom Hill cuvées from Patricia Green in 2017, this pokes out just a bit richer and fuller than the others, with brambly black cherry fruit and savory herbs. The tannins taste of black tea, and as the wine takes a deep dive down the palate, streaks of cola bring additional highlights. Quite young, but with superb long-term potential.
Viña Mayor 2015 El Secreto (Ribera del Duero)	El Secreto	93	$18	Ribera del Duero, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	Viña Mayor	7/1/2019	Red	750 ml	14%	Aromas of blueberry, blackberry and oaky cinnamon set up a powerful palate that doesn't shy away from anything. Black fruit flavors are rugged and hold the oak well, while this is huge on the finish but forgiving due to great overall balance. Drink through 2028.
Pali 2016 Radian Vineyard Pinot Noir (Sta. Rita Hills)	Radian Vineyard	93	$60	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.8%	Quite dark in the glass, this bottling from an epic vineyard on the southwestern edge of the appellation shows aromas of cola, boysenberry, sarsaparilla and loamy earth. It's rich on the palate with boysenberry jam, star anise and clove flavors, proving full and spicy at once.
Wohlmuth 2018 Sauvignon Blanc (Südsteiermark)	null	93	$22	Südsteiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Sauvignon Blanc	Wohlmuth	7/1/2019	White	750 ml	12.5%	Vivid notes of passion fruit and peach are creamy and juicy at once on the inviting nose. The palate cuts this with precise lime zest freshness that highlights the rich intense fruit even more. This very concentrated and you wonder how so much intensity can be crammed into such a slender wine. Whoa.
Château d'Aqueria 2018 Tavel	null	93	$22	Tavel, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rosé	Château d'Aqueria	7/1/2019	Rose	750 ml	13.5%	This medium-bodied, dry rosé offers intensely fresh, concentrated strawberry, raspberry and watermelon flavors. It's juicy yet invigorating and mineral. A blend of Grenache, Clairette, Cinsault and Mourvèdre, it's a structured, penetrating wine that will gain depth and complexity through 2022 and serve well in the colder months with game or poultry.
Caves Velhas 2016 Cabeça de Toiro Reserva Red (Tejo)	Cabeça de Toiro Reserva	92	$17	Tejo, Portugal	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Portuguese Red	Caves Velhas	7/1/2019	Red	750 ml	13.5%	A big, bold and juicy wine, this is rich with both tannins and black fruits. It is generous with its black-plum flavors, balanced acidity and a spice aftertaste from the wood aging. Drink the wine now.
Valli 2016 Waitaki Vineyard Pinot Noir (Central Otago)	Waitaki Vineyard	93	$50	Central Otago, New Zealand	Christina Pickard	@winewchristina	Contributing Editor	Pinot Noir	Valli	7/1/2019	Red	750 ml	13.5%	Grant Taylor is passionate about the limestone littered Waitaki Valley, a new wine region west of Otago, and this wine makes it easy to see why. The cooler region and season make for a fragrant nose that's hard to resist—full of bright red-berry fruit, stalks, Middle Eastern spices, a damp earth undertone and a savory streak. The nose may be heady but the palate is on terra firma, structured and elegant and wound neatly by fine savory tannins, laser sharp acidity and an endlessly long spicy finish. Sip with a Moroccan tagine. Drink now through 2027.
Kelley Fox 2016 Maresh Vineyard Pinot Noir (Dundee Hills)	Maresh Vineyard	93	$65	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Kelley Fox	7/1/2019	Red	750 ml	13%	Intensely aromatic, this lovely wine mixes sweet berry and black cherry in a firm, well-structured wine with a hint of pine needle running along its spine. As with all Kelley Fox wines, it's both elegant and powerful, with excellent aging potential. It will drink well now through the 2020s and likely beyond.
